date,SPY,XLK,XLF,XLE,XLV,XLI,XLP,XLY,XLU,XLB,XLRE,XLC,TLT,GLD
2019-11-21,281.4334411621094,40.938629150390625,26.19004249572754,22.095516204833984,87.17272186279297,73.01368713378906,51.294960021972656,56.339725494384766,25.559186935424805,25.877126693725586,30.50969886779785,48.71152877807617,114.73560333251953,138.0
2019-11-22,282.059326171875,40.88669204711914,26.384044647216797,22.021900177001953,87.48433685302734,73.39112854003906,51.21141815185547,56.72636413574219,25.567302703857422,25.92081069946289,30.334623336791992,48.730262756347656,114.88335418701172,137.74000549316406
2019-11-25,284.245361328125,41.48164749145508,26.551589965820312,22.043989181518555,88.50822448730469,73.9212875366211,51.2698860168457,57.22616195678711,25.48207664489746,26.09119987487793,30.358509063720703,48.88007354736328,115.22006225585938,137.0800018310547
2019-11-26,284.8892822265625,41.5194206237793,26.52513885498047,21.8415470123291,88.43699645996094,74.13697814941406,51.68760681152344,57.617496490478516,25.567302703857422,26.222261428833008,30.780256271362305,49.03927230834961,115.89342498779297,137.74000549316406
2019-11-27,286.15924072265625,41.750797271728516,26.630952835083008,21.896757125854492,88.89104461669922,74.0650863647461,51.81292724609375,58.112579345703125,25.611942291259766,26.327116012573242,30.875743865966797,49.3857421875,115.55679321289062,137.00999450683594
2019-11-29,285.0978698730469,41.62802505493164,26.58686065673828,21.675912857055664,88.57945251464844,73.72361755371094,51.79621887207031,57.73537826538086,25.587594985961914,26.23100471496582,30.75638198852539,49.21718215942383,115.31039428710938,137.86000061035156
2019-12-02,282.6761169433594,41.0330696105957,26.419322967529297,21.675912857055664,88.18770599365234,72.51045989990234,51.913177490234375,57.2591667175293,25.42119789123535,25.968862533569336,30.191389083862305,48.748985290527344,113.77297973632812,137.7899932861328
2019-12-03,280.7803039550781,40.66948318481445,26.048952102661133,21.352005004882812,87.99182891845703,71.71966552734375,51.82963562011719,56.68392562866211,25.490192413330078,25.8028507232666,30.438074111938477,48.65534591674805,116.15852355957031,139.11000061035156
2019-12-04,282.5128479003906,40.83475112915039,26.295860290527344,21.672231674194336,88.81094360351562,71.99823760986328,52.17216491699219,56.99983215332031,25.68499183654785,25.859643936157227,30.597230911254883,48.90816879272461,114.9986343383789,138.9199981689453
2019-12-05,283.020751953125,40.985843658447266,26.419322967529297,21.569168090820312,88.81094360351562,72.0162124633789,52.15544891357422,56.9432487487793,25.729631423950195,25.990711212158203,30.64497184753418,49.11418151855469,114.43926239013672,139.0
2019-12-06,285.6059265136719,41.439151763916016,26.772050857543945,21.981416702270508,89.39855194091797,72.88787841796875,52.3559455871582,57.400611877441406,25.652530670166016,26.257211685180664,30.652935028076172,49.40447235107422,113.80593872070312,137.6199951171875
2019-12-09,284.70794677734375,41.22195053100586,26.71031951904297,21.955650329589844,88.77531433105469,72.60930633544922,52.39772415161133,57.471336364746094,25.563243865966797,26.20479393005371,30.692726135253906,49.21718215942383,114.0526351928711,137.5800018310547
2019-12-10,284.3904113769531,41.2550048828125,26.719133377075195,21.999818801879883,88.97119140625,72.51943969726562,52.23064422607422,57.37232208251953,25.559186935424805,26.047508239746094,30.477859497070312,49.04864501953125,114.06089782714844,137.97000122070312
2019-12-11,285.19775390625,41.5335807800293,26.65740203857422,21.9630126953125,89.05133819580078,72.97773742675781,52.305824279785156,57.51848602294922,25.628175735473633,26.244108200073242,30.247087478637695,49.27336502075195,114.95751953125,138.9199981689453
2019-12-12,287.65594482421875,41.97743225097656,27.177682876586914,22.367900848388672,89.87932586669922,73.624755859375,52.26406478881836,58.02299880981445,25.51860237121582,26.61109733581543,29.881040573120117,49.329551696777344,113.06548309326172,138.42999267578125
2019-12-13,287.8282470703125,42.256038665771484,27.08068084716797,22.19858169555664,89.81697845458984,73.42707061767578,52.44784927368164,58.07484817504883,25.71746063232422,26.405757904052734,29.912872314453125,49.21718215942383,114.3735122680664,139.0500030517578
2019-12-16,289.80560302734375,42.63378143310547,27.177682876586914,22.49671745300293,90.78748321533203,73.39112854003906,52.63163757324219,58.32947540283203,26.038070678710938,26.51935577392578,30.14364242553711,49.70412063598633,113.34519958496094,139.0399932861328
2019-12-17,289.869140625,42.534629821777344,27.28350257873535,22.511442184448242,90.68954467773438,73.3192138671875,52.548095703125,58.58879852294922,26.12328338623047,26.558671951293945,29.817378997802734,49.65729522705078,113.18895721435547,139.00999450683594
2019-12-18,289.8872375488281,42.52989196777344,27.168865203857422,22.596097946166992,90.81417083740234,73.01368713378906,52.46455764770508,58.645381927490234,26.22879981994629,26.523717880249023,30.239139556884766,49.99439239501953,112.2593994140625,139.02000427246094
2019-12-19,291.075439453125,42.83682632446289,27.16004180908203,22.588741302490234,91.17032623291016,73.21139526367188,52.74859619140625,58.829254150390625,26.236919403076172,26.615467071533203,30.525609970092773,50.45323944091797,112.43899536132812,139.3800048828125
2019-12-20,292.3515930175781,43.085533142089844,27.191951751708984,22.805416107177734,91.81578826904297,73.5482406616211,53.14699172973633,58.91913604736328,26.41728401184082,26.7446231842041,30.761316299438477,50.609947204589844,112.58731842041016,139.52000427246094
